"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-01-01","9.40"," 1209","0.00",,"12","-12","  270","  270","19.9","23.9",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-01-02","10.51"," 2100","0.00",,"14","0","  200","  210","16.1","21.9",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-01-03","8.50"," 1212","0.00",,"16","0","  190","  190","16.1","21.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-01-04","11.41"," 1041","0.00",,"16","0","  320","  320","23.0","29.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-01-05","8.50"," 1148","0.00",,"7","-13","  310","  310","19.9","25.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-01-06","4.25"," 1211","0.00",,"11","-17","  290","  290","14.1","17.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-01-07","10.07"," 1128","0.00",,"29","-15","  180","  180","21.9","28.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-01-08","12.97"," 1615","0.01",,"37","26","  240","  310","21.9","47.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-01-09","4.47"," 2245","0.00",,"36","20","  130","  130","13.0","16.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-01-10","6.71"," 2050","0.01",,"45","26","  170","  170","13.0","19.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-01-11","10.51"," 1434","0.03",,"56","43","  170","  170","17.0","23.9",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-01-12","16.33"," 2043","0.22",,"54","12","  330","  320","25.9","38.9",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-01-13","8.05"," 0007","0.00",,"35","2","  330","  340","28.0","35.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-01-14","5.59"," 2042","0.00",,,,"  170","  120","15.0","19.0",,,,
