Location,Bedroom_Size,Month,Year,Date,Price,NationalPrice
Los Angeles,Studio,1,2014,1/1/14,957,730
Anaheim,Studio,1,2014,1/1/14,1111,730
Santa Ana,Studio,1,2014,1/1/14,1054,730
Irvine,Studio,1,2014,1/1/14,1518,730
Huntington Beach,Studio,1,2014,1/1/14,1279,730
Garden Grove,Studio,1,2014,1/1/14,1094,730
Orange,Studio,1,2014,1/1/14,1219,730
Fullerton,Studio,1,2014,1/1/14,1096,730
Costa Mesa,Studio,1,2014,1/1/14,1241,730
Newport Beach,Studio,1,2014,1/1/14,1921,730
Laguna Niguel,Studio,1,2014,1/1/14,1461,730
Aliso Viejo,Studio,1,2014,1/1/14,1486,730
Laguna Beach,Studio,1,2014,1/1/14,1547,730
Los Angeles,1br,1,2014,1/1/14,1139,835
Anaheim,1br,1,2014,1/1/14,1322,835
Santa Ana,1br,1,2014,1/1/14,1255,835
Irvine,1br,1,2014,1/1/14,1807,835
Huntington Beach,1br,1,2014,1/1/14,1522,835
Garden Grove,1br,1,2014,1/1/14,1302,835
Orange,1br,1,2014,1/1/14,1450,835
Fullerton,1br,1,2014,1/1/14,1304,835
Costa Mesa,1br,1,2014,1/1/14,1477,835
Newport Beach,1br,1,2014,1/1/14,2287,835
Laguna Niguel,1br,1,2014,1/1/14,1739,835
Aliso Viejo,1br,1,2014,1/1/14,1768,835
Laguna Beach,1br,1,2014,1/1/14,1842,835
Los Angeles,2br,1,2014,1/1/14,1463,1037
Anaheim,2br,1,2014,1/1/14,1699,1037
Santa Ana,2br,1,2014,1/1/14,1612,1037
Irvine,2br,1,2014,1/1/14,2322,1037
Huntington Beach,2br,1,2014,1/1/14,1956,1037
Garden Grove,2br,1,2014,1/1/14,1673,1037
Orange,2br,1,2014,1/1/14,1864,1037
Fullerton,2br,1,2014,1/1/14,1676,1037
Costa Mesa,2br,1,2014,1/1/14,1898,1037
Newport Beach,2br,1,2014,1/1/14,2938,1037
Laguna Niguel,2br,1,2014,1/1/14,2234,1037
Aliso Viejo,2br,1,2014,1/1/14,2272,1037
Laguna Beach,2br,1,2014,1/1/14,2366,1037
Los Angeles,3br,1,2014,1/1/14,1989,1392
Anaheim,3br,1,2014,1/1/14,2309,1392
Santa Ana,3br,1,2014,1/1/14,2191,1392
Irvine,3br,1,2014,1/1/14,3155,1392
Huntington Beach,3br,1,2014,1/1/14,2659,1392
Garden Grove,3br,1,2014,1/1/14,2274,1392
Orange,3br,1,2014,1/1/14,2533,1392
Fullerton,3br,1,2014,1/1/14,2277,1392
Costa Mesa,3br,1,2014,1/1/14,2579,1392
Newport Beach,3br,1,2014,1/1/14,3994,1392
Laguna Niguel,3br,1,2014,1/1/14,3036,1392
Aliso Viejo,3br,1,2014,1/1/14,3088,1392
Laguna Beach,3br,1,2014,1/1/14,3216,1392
Los Angeles,4br,1,2014,1/1/14,2193,1623
Anaheim,4br,1,2014,1/1/14,2546,1623
Santa Ana,4br,1,2014,1/1/14,2416,1623
Irvine,4br,1,2014,1/1/14,3479,1623
Huntington Beach,4br,1,2014,1/1/14,2932,1623
Garden Grove,4br,1,2014,1/1/14,2507,1623
Orange,4br,1,2014,1/1/14,2793,1623
Fullerton,4br,1,2014,1/1/14,2511,1623
Costa Mesa,4br,1,2014,1/1/14,2844,1623
Newport Beach,4br,1,2014,1/1/14,4403,1623
Laguna Niguel,4br,1,2014,1/1/14,3348,1623
Aliso Viejo,4br,1,2014,1/1/14,3405,1623
Laguna Beach,4br,1,2014,1/1/14,3546,1623
Los Angeles,Studio,2,2014,2/1/14,961,732
Anaheim,Studio,2,2014,2/1/14,1113,732
Santa Ana,Studio,2,2014,2/1/14,1060,732
Irvine,Studio,2,2014,2/1/14,1516,732
Huntington Beach,Studio,2,2014,2/1/14,1285,732
Garden Grove,Studio,2,2014,2/1/14,1098,732
Orange,Studio,2,2014,2/1/14,1223,732
Fullerton,Studio,2,2014,2/1/14,1098,732
Costa Mesa,Studio,2,2014,2/1/14,1244,732
Newport Beach,Studio,2,2014,2/1/14,1982,732
Laguna Niguel,Studio,2,2014,2/1/14,1470,732
Aliso Viejo,Studio,2,2014,2/1/14,1490,732
Laguna Beach,Studio,2,2014,2/1/14,1613,732
Los Angeles,1br,2,2014,2/1/14,1143,838
Anaheim,1br,2,2014,2/1/14,1324,838
Santa Ana,1br,2,2014,2/1/14,1262,838
Irvine,1br,2,2014,2/1/14,1804,838
Huntington Beach,1br,2,2014,2/1/14,1529,838
Garden Grove,1br,2,2014,2/1/14,1307,838
Orange,1br,2,2014,2/1/14,1455,838
Fullerton,1br,2,2014,2/1/14,1307,838
Costa Mesa,1br,2,2014,2/1/14,1480,838
Newport Beach,1br,2,2014,2/1/14,2358,838
Laguna Niguel,1br,2,2014,2/1/14,1750,838
Aliso Viejo,1br,2,2014,2/1/14,1774,838
Laguna Beach,1br,2,2014,2/1/14,1920,838
Los Angeles,2br,2,2014,2/1/14,1469,1039
Anaheim,2br,2,2014,2/1/14,1701,1039
Santa Ana,2br,2,2014,2/1/14,1622,1039
Irvine,2br,2,2014,2/1/14,2318,1039
Huntington Beach,2br,2,2014,2/1/14,1965,1039
Garden Grove,2br,2,2014,2/1/14,1679,1039
Orange,2br,2,2014,2/1/14,1870,1039
Fullerton,2br,2,2014,2/1/14,1679,1039
Costa Mesa,2br,2,2014,2/1/14,1902,1039
Newport Beach,2br,2,2014,2/1/14,3031,1039
Laguna Niguel,2br,2,2014,2/1/14,2248,1039
Aliso Viejo,2br,2,2014,2/1/14,2279,1039
Laguna Beach,2br,2,2014,2/1/14,2468,1039
Los Angeles,3br,2,2014,2/1/14,1997,1396
Anaheim,3br,2,2014,2/1/14,2312,1396
Santa Ana,3br,2,2014,2/1/14,2204,1396
Irvine,3br,2,2014,2/1/14,3150,1396
Huntington Beach,3br,2,2014,2/1/14,2671,1396
Garden Grove,3br,2,2014,2/1/14,2282,1396
Orange,3br,2,2014,2/1/14,2541,1396
Fullerton,3br,2,2014,2/1/14,2282,1396
Costa Mesa,3br,2,2014,2/1/14,2586,1396
Newport Beach,3br,2,2014,2/1/14,4119,1396
Laguna Niguel,3br,2,2014,2/1/14,3055,1396
Aliso Viejo,3br,2,2014,2/1/14,3098,1396
Laguna Beach,3br,2,2014,2/1/14,3354,1396
Los Angeles,4br,2,2014,2/1/14,2201,1627
Anaheim,4br,2,2014,2/1/14,2550,1627
Santa Ana,4br,2,2014,2/1/14,2430,1627
Irvine,4br,2,2014,2/1/14,3474,1627
Huntington Beach,4br,2,2014,2/1/14,2945,1627
Garden Grove,4br,2,2014,2/1/14,2516,1627
Orange,4br,2,2014,2/1/14,2802,1627
Fullerton,4br,2,2014,2/1/14,2516,1627
Costa Mesa,4br,2,2014,2/1/14,2851,1627
Newport Beach,4br,2,2014,2/1/14,4541,1627
Laguna Niguel,4br,2,2014,2/1/14,3369,1627
Aliso Viejo,4br,2,2014,2/1/14,3416,1627
